Query,Dialect,Query Real Answer
अन्न पानीले उपाशी ठेवतस,Ahirani,अन्न आणि पाणी असूनही उपाशी राहता
सहजर ईचार दगडले,Ahirani,सहजपणे विचार करून दगड लावतो
रातोरात देव कसा झाया,Ahirani,रातोरात देव कसा झोपला?
सांगणा देवबा तुन रे गणित तंत्र,Ahirani,"सांग ना देवबापू, तू गणिताचं तंत्र सांगणार?"
डोकाना झितरा वाडाईसन,Ahirani,डोक्यावर झिटका घेतल्यास वाडे आणतात
भगत तालवर मुडंक हालवस,Ahirani,भक्त तालीवर मुद्रां हलवतो
देस मस्त उटलट्या थापा,Ahirani,देशात धमाल उलट्या ठोका पेटवतात
चौक वर भुक्या भुकमा तडपतस,Ahirani,चौकात भुकेले लोक तडपतात
डोयाना आंध्या दगडले अन्न खाऊ घालतस,Ahirani,"डोळ्याला अंधारासारखा दगड होतं,अंदपणी अन्न खातो"
घर लेकरे बाय उपाशी मरतस,Ahirani,घरातले लोक उपाशी मरत आहेत
कशी तुनी कमाल खोट दान तू करस,Ahirani,तू कसली कमाल खोटी दान करतेस!
जिवत पने वाईट वागणूक दिनी,Ahirani,जिवंत असतानाही वाईट वागणूक करता
मरावर अश्रू का गायस,Ahirani,मृत्यूवरही अश्रू नका गात नाही का?
भुक्या माय बापनी आगारीले,Ahirani,भुकेले आईवडीलाने आगारी सोडले
हाड्याले नैवद्य कशाले देखाडस,Ahirani,हाडांनी नैवध्य कोणाला दाखवले?
वाह रे कपटी पना तुना,Ahirani,"वा, तुझ्या कपटीपणाला तरी कसं स्थळ मिळालं?"
कसा बायकोना गुलाम व्हयना,Ahirani,बायकोला गुलाम करून ठेवू नकोस
माय बापनी दिना जनम तुले,Ahirani,आई-वडीलानी तुझे जन्म दिलं
म्हातारपने लाथा बुक्का मारत ऊना,Ahirani,म्हातारीपणात तुझ्यावर लाथी-पिटू मारत आहोत
नवरीनी फुई: वं बहिनीओन! आटपा! नवरी तय्यार व्हयनी का?,Ahirani,नवरीने: अहो बहिणींनो! नवरी तयार झाली का?
तिले जास्त टाईम लागस नट्टापट्टाले!,Ahirani,तिला जास्त वेळ लागतोय वरवरचे साज बांधायला!
ठावका बस,Ahirani,गपचूप राहणे
काम नैन धाम नै... नुसता नखराच दखा नटमोगरीना!,Ahirani,"काहीच काम नाही... फक्त नखर दाखवतेस, नटमोगरीना!"
का वं इजु? नवरदेवले ववाळाले ताट लिधं का?,Ahirani,का हे बाई? नवरा ने टाट गाळून दृष्टदान केला का?
त्या मां तुपना दिव्वा लावाले इसरु नकोस बर्का!,Ahirani,"त्या माला तेलात दिवा लावून रडू नकोस, बाई!"
तुले म्हाईत शे ना 'धल्ला' ना स्वभाव!,Ahirani,तुला माहित आहे ना 'धडला' म्हातारीचा स्वभाव?
जवाईले ववाळशी तव्हय डोक्यावर पदर घे जो!,Ahirani,जावळाने निखळून सोडलं म्हणून डोक्यावर पडर घे!
का वं बहीन्! माले म्हाईत शे ना!,Ahirani,अहो बहिणींनो! मला माहिती आहे ना!
हा वं बहीन्! जवाईले कळनं तं मग बसं व्हई गयं!,Ahirani,हो रे बहिणी! जावा समजल्या कि मग बसतं व्यवस्थित
आसा दांगडो घाली तो लगिनमां,Ahirani,असा तो दांडगडा घाली आणि तो लग्नात आहे
हाय शुभीना नवरा भलता आग्यायेताळ शे!,Ahirani,हे शुभिन! नवरा चांगला आग्यायेत आहे!
एक येळ इस्तव हातमां धरी जाई पन ह्यास्ना सोभाव ना ...,Ahirani,एक वेळ इस्तव हातात बसवली जातं पण त्याला सोभत नाही...
"बाप रे बाप! शुभे, तु आतेपुरती मन्ही नथ घाली ले बईन!",Ahirani,"हे बाप रे बाप! शुभे, तू येईपर्यंत मी नथही घालणार नाही!"
सासुरवाशीण कस्तुरा गावावरुन येउन पोचते,Ahirani,सासरवाशिण कस्तुरा गावून येऊन पोहोचली
"माय वं, अण्णाले पह्यलेच सांगं व्हतं मी ...",Ahirani,"माय बाई, अण्णाने आधीच सांगावं असं मला वाटतंय ..."
आम्हले निवतं धाडं व्हतं का? आन मंग जाते कसा बोलतस तुन्हा सासरकडना?,Ahirani,आमच्याकडे निवड पडते का? आणि तू सासरकडे कसं बोलतोस?
का वं कस्तुरा? माले एक सांग ... तुम्ही नणंदना देरना लगनमां ...,Ahirani,का काय कस्तुरा? मला एक सांग... तुम्ही नणंदला लग्नात...
आटपा आटपा... तठे नवरदेव ई लागना पारवर आनि तुम्ही काय चावळी राह्यनात आठे?,Ahirani,बघ बघ... तिथे नवरा विवाहावर आला आणि तुम्ही काय चावलं राहिलात का?
हाऊ बबन्या कोठे शिलगना? वर्णाडना स्वागत कराले फुलमाळा सांगन्या व्हत्या मी...,Ahirani,"हो बाबन्या, कुठे शिलगला? वर्णाडला स्वागत करण्यासाठी फुलमाळा सांगणं मी..."
"तो सत्या, आज्या तर काई कामनाच नै शे",Ahirani,"तो खरं सांगतोय, आज्या (आजकाल) काहीच काम नाही"
"त्या वाजावाला, पोटझोड्या उनात का? त्याले म्हना नेमबंद वाजवा ...",Ahirani,"त्या वाजवाला (वादकाला), पेट झोडलेल्या उन्हात का? त्याला म्हणा नेमके वाजव जसं..."
कव्वय जाई हाई 'सुख्या' आते पारवर?,Ahirani,कुठे जाई हा 'सुख्या' येणं पारवर?
बबन्या: हाई काय ई राह्यनु हार लीसन! घ्या वं बहिनीओन... गजरा बांधा!,Ahirani,"बबन्याने: हे काय राहिलं (थांबलं)?, घ्या बहिणींनो... गजरा बांधा!"
"दादा, मानकर्‍यास्नी लिश्ट व्हई ना?",Ahirani,"दादा, मानकरी सुटी पाळली का?"
पंगतीम्हानभी तास्ना ताटेसले लावाना शेतस!,Ahirani,पंगतिमधेही ताऱ्यांचा ताट लावायला शेतातस!
तेलनपापड्या लिध्यात का? आन सांजोर्‍या? त्या परमिलाले इचार बरं!,Ahirani,तेलात पापड टाकल्यानंतर का? आणि सांडोऱ्याइतका? त्यामाल्यावर...
तु बेळमाथनी पुजी राह्यन्थी तव्हय... कल्याण शे!,Ahirani,तू बळकटपणे उभं राहिलंत म्हणून कल्याण आहे!
गावा मधी आज झांज-पाथ लागली. ,Ahirani,गावात आज ढोल-ताशांचा कार्यक्रम झाला.
"जीवनमा साधापन, गर्व तर नही कया... ",Ahirani,जीवनात साधेपणा आहे; पण त्याचा काही गर्वच नाही...
"आला काळा हसत होतस, पण आतून मन ख्याली पडलं... ",Ahirani,"बाहेरून तो हसत होता, पण मन आतून खुप कुठ्याशा काहीतरी विचारात पडलेले होते..."
"वाटा काटेरी भलत्या, काटा पायले टोचेत... ",Ahirani,"वाट काटेरी होत असते, आपण चालू असतो, पण ती वाट टोचते, काट्याकडे नेत असते..."
संघर्ष नशिबी खरा... वाट मन्ही खडतर. ,Ahirani,संघर्ष हा नशीबातच खरा असतो... आणि वाट तर मनाच कठीण बनते.
"गणिमी कावा तुमना, नहीं कयन रे माले... ",Ahirani,"गणाची गोष्ट म्हणतोय तुम्हाला, नाही म्हणून का सांगू मी..."
गावात तात्यावाचून पान हालानं नहीं.,Ahirani,गावात तात्या (वडिल) याशिवाय पान (परंपरा) हलत नाहीत.
तात्याला साळ खाऊ देवाणा नहीं. ,Ahirani,तात्याला साळ (आदर) करणं द्यायला ग्रामस्थ तयार नाहीत.
सग्ळी जागावर तात्या हजर र्हायना... ,Ahirani,प्रत्येक ठिकाणी तात्या उपस्थित राहणार असं काही नाही...
याळम्हान कवळज तोंडवरथून पाणी फिरावाना नहीं... ,Ahirani,पाण्याचे थेंब किंवा स्त्रोत तोंडावरून फिरवून दाखवलं जातं नाही... (मानसिक मिठास दाखवायला)
टोपील टार्च दिलेल र्हावानी. ,Ahirani,(तात्याला) टोपी व टॉर्च देऊन दाखवून मान दिला जातो.
आठोदाभर तात्या त्याज कपडे वापराना... पण कधी मलेल दखावाना नहींत. ,Ahirani,दीर्घ काळ तात्याचा वापर होणारा कपडा वापरला जातो; पण तो कधीच घाणलेला दाखवायला नाही.
पंगतिम्हानभी बसा मंडळी असे म्हणालेभी तात्याज पायजेच. ,Ahirani,"पंगतीत बसायला सांगितलं तरीही, तात्याचा आदर म्हणून त्यांचं स्थान राखलं जातं."
"न्यारा चेहरा जगना, माले ये नी ते शिकाड...",Ahirani,"वेगळा चेहरा जगाला दिसतो, पण माझ्यासमोर तो काही वेगळ्या छटा दाखवत नाही..."
"तारी काटेरी वाटा... हिम्मतथीन चालनू, बठा गंमत देखेत...",Ahirani,"ती वाट खूप कठीण आहे, पण हिम्मत न सोडता हसत चालत जा..."
"जग जस दिसस हो, तस ते नहींच र्हास...",Ahirani,"जग जसा दिसतो, तसा तो खरा नसतो..."
"संघर्ष नशिबी खरा, वाट मन्ही खडतर...",Ahirani,"संघर्ष हा नशिबात ठरलेला असतो, पण ती वाट मनाला फार कठीण वाटते..."
माले ये नी ते शिकाड...,Ahirani,"माझ्यासाठी जे काही आहे, ते त्याचं रूप किंवा छटा आहे..."
हाय पाईसन तिनं डोकं फिरनं...,Ahirani,अशी भीती वाटते की तिचं डोकं फिरतंय...
गुपचूप जाईसन भाजीना पातीलामा परातभर मीठ टाकी दिधं...,Ahirani,गुपचूप भाजीमध्ये/सारणात भरपूर मीठ टाकलं...
अवदसाना डोळा उघडनात... ती समोर ईसन लक्ष्मीना पाय पडनी...,Ahirani,अवदसाने डोळे उघडले आणि समोर लक्ष्मीच्या पायावर पाय ठेवला...
सग्ळी जागावर तात्या हजर र्हायना...,Ahirani,प्रत्येक ठिकाणी तात्याची उपस्थिती असणे शक्य नाही...
तात्याने वापरलेले कपडे कधीच मळलेले दाखवत नाहीत…,Ahirani,तात्यांचे वापरलेले कपडे कधीही घाण दिसत नाहीत...
गह्यरां फिरी फिरी येस,Ahirani,गहू (पिक) फिरत-फिरत येते. / गव्हाचे पेरणे-वाटप चालू आहे.
पहिरेल उगत ऱ्हास,Ahirani,पहाटे उठले की सकाळ उजळते. / सकाळ होते तेव्हा प्रकाश उगवतो.
बैल व्हयी गाड व्हडी ऱ्हायंता,Ahirani,बैल गाडीच्या बळावर काम करत आहेत. / बैलांनी गाडी ओढत काम चालू ठेवले.
कर्ज डोकावर बठी हासत ऱ्हास,Ahirani,कर्ज डोक्यावर असूनही (लोक) हसत आहेत — दुःखापासून तेगुप्तपणे वागत आहेत.
आत्ये पाऊस येना रे,Ahirani,अरे ये पाऊस येतो आहे! / पाऊस सुरू होतोय.
उकाड्या उन्हातून घरचे ओले जावं,Ahirani,उकाड्याच्या उन्हात घरातील कामं करताना सगळे पसीने पिळू लागतात.
"रात्रीचं गाव शांत, पंथ ठाणात",Ahirani,गाव रात्री शांत असतं; मार्गावर वस्तू ठामपणे उभ्या असतात.
दुपारी जेवणानं पहिले खाऊन मी थोडी विश्रांती घेतली,Ahirani,दुपारी जेवण करून मी थोडी विश्रांती घेतली.
पाणी न मिळाल्यावर पिकं उपटतात,Ahirani,पाण्याशिवाय शेतीची पिकं सुकायला लागतात.
पांढऱ्या धुक्यात गावी सारा थरार,Ahirani,पांढऱ्या धुक्यात गावात सगळे दृश्य वेगळे दिसते.
आंबान्ह झाडाची फांद्या एकमेकांत गुंतल्या,Ahirani,आंब्याच्या झाडांच्या फांद्या एकमेकांत गुंतल्या आहेत.
"तुमीन जरा ध्यानखाल दखा, आपला आजूबाजूले दखावन्हारा झाडे झुडे, जीव जंतु ह्यासुद्दा पर्यावरनना संगे तायमेय ठेवासाठे सोतानं रुप आसो गंध आसो यान्हा मार्फत व्यक्त व्हत र्हातंस",Ahirani,"तुम्ही थोडं लक्ष द्या; आपल्या आजूबाजूच्या झाडं, झुडुपं, जीव-जंतु हि पर्यावरण सांभाळण्यासाठी आपल्या रूप, वास यांमधून व्यक्त होत राहतात"
"जगम्हातली कुठलीबी भाश्या जर सिकानी व्हुई ते, वर सांगेल परमानेज आपले वागनं पडी",Ahirani,"जगात कोणतीही भाषा आपण शिकली तरी, आपल्या वागण्यावर त्या भाषेचा परिणाम सूरतो"
"आपेन आपला रोजाना व्यवहारम्हा यान्हा वापर कर्तसच, पन याले नेमकं काय म्हन्तस हाईज आपुनले ध्यानम्हा नई र्हास",Ahirani,"आपण आपला रोजचा व्यवहार येथे वापर करतो, पण हे नेमके काय म्हणतात हे आपल्याला अजिबात लक्षात येत नाही"
आपून वर सांगेल परमाने वागतस का? हाई जरा सोतालेज ईच्यारी दखा! आपन तसा वागतसच नथीन,Ahirani,स्वतःला सांगेल की तुम्ही का तसे वागताय? हे थोडं सोप्या पद्धतीने पहा! आपण तसा वागत नसतो
"तुमीन जरा ध्यानखाल दखा, आपला आजूबाजूले दखावन्हारा झाडे झुडे ...",Ahirani,"तुम्ही थोडं लक्ष द्या; आपले आजूबाजूचे झाडं-झुडुपं, जीव-जंतु पर्यावरणासाठी रूप आणि वास यांमधून व्यक्त होत आहेत"
आपन रोज सकाय झोपम्हाईन उठीसन पुनाईन जपत लगून जितालाबी कामे चोवीस कलाकम्हा कर्तस,Ahirani,"आपण रोज सकाळ झोपण्या आधी उठतो आणि नंतर काम करत, दिवसभर तीन चौवीस तास विविध कामे करतो"
तुमले दखावथीनज दखावथीन मोबाईलवर जर शंभर खटला व्हतीन ते त्याम्हा सत्तर ते ऐन्सी टक्का खटलासवर आसा हावस्या,Ahirani,"तुमच्या मोबाइलवर जर शंभर चॅट्स झाले असतील, त्यात सत्तर ते ऐंशी टक्के चॅट्स तुमच्यासाठी हवस्ये/आवडीचे असतात"
"मन्हा वाचनम्हा, आयकाम्हा जितलाबी अहिरानी पटलासव्हरना लिखन्हारा बोलन्हारा शेतंस त्याम्हा सामाजिक, शैक्षनिक, सांस्कृतिक, भौतिक आसा सर्वगूनसंपन्न ज्या विचारवंत, लेखक...दखावनात",Ahirani,"माझ्या वाचनात/अनुभवात, जेव्हा अहिराणी पटलावर येतात, लिखित आणि बोलणाऱ्या लोकांना सामाजिक, शैक्षणिक, सांस्कृतिक आणि भौतिक दृष्ट्या सर्व पैलूंचे विचारवंत/लेखक दिसतात"
आता आपन आखो एक वज्जी भारी मुद्दाना ईच्यार करूत. ह्या मुद्दानं नाव जरी धाकलसंच से तरी त्याम्हा भू भारी मतितार्थ भरेल से,Ahirani,आता आपण एक मोठा महत्वाचा मुद्दा उचलतोय. त्या मुद्द्याचा नाम धाकटी असला तरी त्याचा विचार महत्त्वाचा होईल
"तुम्हीन जरा ध्यानखाल दखा! आपन तसा वागतसच नथीन. बरं वागतस नैत ते नैत, त्याउप्पर आगाऊपना करीसनी बोलतस",Ahirani,तुम्ही थोडं लक्ष द्या! आपण तसे वागत नाही. ठीक आहे वागतसे पण त्या व्यवहारावर आधी विचार करून बोलता
अडस,konkani,छान
सरबरीत,konkani,वेडा
शाप व्हल्पटून टाकेल.,konkani,"
मारेन"
नकावडी,konkani,थोडी 
वसाड्या,konkani,पणवती
लाक्या,konkani,"
खोटारडा"
मुस्काट,konkani,चेहरा
माका / तुका,konkani,मला / तुला
खय ,konkani,कुठे 
झाटलिमन,konkani,"
रुबाबदार"
खबरांक म्हाका विसरुंक नका,konkani,मला बातमी देताना विसरू नकोस.
देवाक लागीं म्हाका संभाळ करता.,konkani,देव नेहमी माझी काळजी घेतो.
रेंदेर माडाशेर चडटात.,konkani,माकडे झाडावर चढतात.
कितें म्हाका जाय म्हून्न सांग.,konkani,मला काय हवे आहे ते सांग.
तुका सांगुंक जाल्यार खुब खुशी.,konkani,तुला सांगितल्यावर मला खूप आनंद होतो.
म्हाजे भितरले भाव गोप्या आसतात,konkani,माझ्या आतल्या भावना गुप्त असतात
हांव जाल्यार म्हाजो देश सेवा करता.,konkani,मी झालो तर माझ्या देशाची सेवा करीन.
ते लोक एकवट्टींत उत्तर दीउंक लागलें,konkani,त्या लोकांनी एकत्र येऊन उत्तर दिले
पावसाचीं धुं घोड्डे घेवून येतात.,konkani,पावसासोबत धुके डोंगरावर येते
म्हाका खुशी म्हून्न तुजें उत्तर आइलो,konkani,मला आनंद झाला की तुझे उत्तर आले
हांव म्हाका सांगुंक विसरलो.,konkani,मी सांगायचे विसरलो.
आमकां तुका मेळपाक खुब आसा आसात.,konkani,आम्हाला तुला भेटायची खूप इच्छा आहे.
तो रात्रीचेर आवाज म्हाका भितर जालें.,konkani,रात्रीचा आवाज मला आतून जाणवला.
तुमकां एकवट्टींत काम करुंक जाय.,konkani,तुम्हाला एकजुटीने काम करायचे आहे.
म्हाका काळजाचें खबर कोस्ली मेळ्ली,konkani,मला मनाची एक बातमी मिळाली.
भुर्गें पोदवी घेवुंक आसात,konkani,मुले पदवी घेत आहेत
ते लोक घराचेर भितर बसले आसात.,konkani,ते लोक घरात बसले आहेत.
रात्री सगळे तारे निस्तात,konkani,रात्री सर्व तारे चमकतात.
म्हाका परिक्षेत खुब भीरांत वाटलें.,konkani,मला परीक्षेत खूप भीती वाटली
आमकां पावसाचें खुशी जालें.,konkani,आम्हाला पावसामुळे आनंद झाला.
हांव तुमकां खबर दीउंक विसरलो.,konkani,मी तुम्हाला बातमी द्यायची विसरलो
हांव म्हाका काईं विसरुनास.,konkani,मी काहीही विसरलो नाही.
तुमकां घराचें काम संभाळुंक जाय.,konkani,तुम्हाला घरकाम सांभाळावे लागेल.
ते लोक बाजारांत खोंब घालता.,konkani,ते लोक बाजारात गर्दी करतात
भुर्गें स्कूलांत वाट घेता.,konkani,मुले शाळेत रांगेत उभी राहतात.
रेंडे म्हाका थोड्डें वाटलें.,konkani,मला खोरं थोडं लहान वाटलं.
आमकां एकवट्टींत जीवंत रावपाक जाय.,konkani,आम्हाला एकतेने जगायला हवे.
म्हाका भितर सगळे खुशी आसतात.,konkani,माझ्या मनात खूप आनंद आहे.
तुमकां काळजाचें गोप्या विसरुंक नका.,konkani,तुम्ही मनातील गुप्त गोष्टी विसरू नका.
आमकां सगळेआ खबर मेळ्ली.,konkani,आम्हाला सर्व बातम्या मिळाल्या.
तो म्हाका एकवट्टींत मोग करता.,konkani,तो मला मनापासून प्रेम करतो.
भुर्गें रात्रीचेर काळजांत उबोर्लें.,konkani,मुले रात्री मनाने जागी राहिली
म्हाका घोड्ड्यांक भितर भीरांत आसा.,konkani,मला घोड्यांपासून भीती वाटते.
आमकां पावसाचेर फुद्दर जालें.,konkani,आम्ही पावसामुळे पुढे गेलो.
उगड्डस म्हाका बरोबर आइलं.,konkani,आठवण मला योग्य वेळी आली.
जोडडोप घेऊनक तो उत्तर मेळ्लो,konkani,बेरीज करून त्याला उत्तर मिळाले.
अक्कोरशोन म्हाका भितोर जालं.,konkani,आकर्षण माझ्या मनात निर्माण झाले
कांतल्लो म्हाका परिक्षेत जालो.,konkani,परीक्षेत मला कंटाळा आला.
ओन्नुभोव म्हाका जीवाचें दाखोवलें.,konkani,अनुभवाने मला जीवन दाखवले.
इबड्ड म्हाका घर सरकेम जालो.,konkani,घरासारखे नुकसान झाले.
स्फोट्ट म्हाका भितर आवाज आइलं.,konkani,आतून स्फोटासारखा आवाज आला.
वोइजकी उपकार म्हाका खुब जालें,konkani,वैद्यकीय मदत मला खूप झाली.
तो धोंपर दुखलो आनी तो पिडेस्त जालो.,konkani,त्याला गुडघा दुखला आणि तो आजारी पडला.
म्हाका म्होंवामूस पोळ्ळेंव भय दिसलो.,konkani,मला मधमाशी पाहून भीती वाटली
ताच्यान घळ सोधुंक जाउंक नां.,konkani,त्याला दरीतला रस्ता शोधता आला नाही.
ताचो धिकार उगटो जालो.,konkani,त्याचा अधिकार उघड झाला.
ह्या मुद्रपिंडा भायर वचत ना.,konkani,ही मूत्रपिंड बाहेर जाणार नाही.
ताच्यान झेल काड्डुंक जाले ना.,konkani,त्याला बर्फ काढता आले नाही.
ताच्या घरा लागीं एक घळ आसा.,konkani,त्याच्या घरा जवळ एक दरी आहे.
ह्याचें पुस्तकाचो अपकार नासलो.,konkani,या पुस्तकाचे उपकार नव्हते.
तांचें अवकाशान आमचें सोयम्बाचो बदल जालोय.,konkani,त्यांच्या रिकाम्या वेळेमुळे आमच्या स्वभावात बदल झाला.
तें घोड वारें आसलें.,konkani,ती घोड्यासारखी हवा होती.
म्हजी बाय कडयेन विणली.,konkani,माझी पत्नी कापसाने विणली.
रात्रीचेर अस्तंत दिश्ठी पडलो.,konkani, रात्री पश्चिम दिसली.
तुं कितें कारणान मुखदार जाता?,konkani,तू कोणत्या कारणामुळे समोर येतो?
ताचें भुरगेंपण खुब आनंदी आसलें,konkani,त्याचे बालपण खूप आनंदी होते.
तो एक धिकार मनीस आसलो.,konkani,तो एक अधिकार असलेला माणूस होता.
आमकां बुद्द नासलो.,konkani,आम्हाला बुद्धी नव्हती.
घरा लागीं एक झेल आसा.,konkani,घरा जवळ एक बर्फाचा तुकडा आहे.
एक कोंस दिसलें.,konkani,एक कणीस दिसले.
पिशारपणान तो पिशो जालो.,konkani,वेडेपणामुळे तो वेडा झाला.
तो निदोर जालोय.,konkani,तो झोपलेला आहे.
तो पिडेस्त जालो.,konkani,तो आजारी झाला.
ते आवल पडले.,konkani,ते दगड पडले.
ताच्यान आखाणो काड्डुंक जाले ना.,konkani,त्याला अंगठा काढता आला नाही.
एक मूर्त देवुलाचो दाखायलो.,konkani,एक मूर्ती देवांची दाखवली.
ताचो धाको ताडलो.,konkani,त्याचा धागा तुटला.
धोर्ण्ण पाळुंक आमकां फर्ज आसा,konkani,नियम पाळणे आपला कर्तव्य आहे.
आमकां मोग आसलो,konkani,आम्हाला प्रेम होते.
सुर्यो उदेंत उडतो.,konkani,सूर्य सकाळी पूर्वेकडून उगवतो
बोडवोन्नी मेळ्लुंक लोकांक सहाय जातां.,konkani,सूचना मिळाल्यावर लोकांना मदत होते.
धोर्ण्ण पाळुंक आमकां फर्ज आसा.,konkani,नियम पाळणे आपला कर्तव्य आहे.
शिकोप मेळ्लुंक चेड्डां भितोर घालता.,konkani,शिक्षा मिळाल्यावर मुले घाबरतात.
शिकॉण्ण म्हाका जीवाचें मार्ग दाखोवलं.,konkani,शिक्षणाने मला जीवनाचा मार्ग दाखवला
उत्प्रोख दिऊंक लोकांक कल्पना जाता.,konkani,उपमा दिल्याने लोकांना कल्पना येते.
आयजकाल म्हाका काम करुंक सकोईलं.,konkani,आजकाल मला काम करणे शक्य झाले.
पोरमोल्ल म्हून्न घरांत शोभित जालो.,konkani,महत्त्वामुळे घरात शोभा निर्माण झाली.
रुन्न घेताम घरांत दुःख जालो.,konkani,कर्ज घेतल्याने घरात दुःख आले.
शक्ती आसा म्हून्न तो जीव करून पावला.,konkani,ताकद असल्याने तो यशस्वी झाला.
काळजोप करुंक म्हून्न आमी घेवचें,konkani,काळजी घेणे म्हणून आम्ही घेतले.
हकीक म्हाका सांगपाक खुब अवघड जालें.,konkani,सत्य सांगणे मला खूप अवघड झाले.
गुस्पोन्नेचें उत्तर म्हाका काळजाचें जालें.,konkani,गुंतागुंतीचे उत्तर मला मनात आले.
लोवचिक वस्त्र म्हाका शोभित दिसता.,konkani,लवचिक वस्त्र मला सुंदर दिसते.
उद्धार म्हाका गुरूचें काळजाचें मेळ्लें.,konkani,उद्धार मला गुरूच्या कृपेने मिळाला.
धरनी म्हाका भितोरांत दिसता.,konkani,पृथ्वी मला आतून (मनातून) दिसते.
धाडप म्हाका बरोबर मेळ्लें,konkani,पाठवलेली वस्तू मला योग्य मिळाली.
पालव म्हाका नवी जालें.,konkani,पालवी मला नवीन दिसली.
नियाळप म्हाका चिंतोप जालें.,konkani,निरीक्षण मला विचारात टाकले.
लटिकु म्हाका बाजारांत मेळ्लो,konkani,फळी मला बाजारात मिळाली.
उच्छाउ म्हाका मंदिरांत मेळ्लें.,konkani,उत्सव मला मंदिरात मिळाला.
त्येचं गपरी कोण मानुस धांवणार. करनोनारा नवता.,Varhadi,"
त्याच्या घरी काम करणारा कोणीच पुरूष नाही."
तेल्या दिसला कुतरा घेआसारका,Varhadi,त्याला एक कुत्रा दिसतो जो तो आणू शकतो.
त्याला अखिन याद याद आली तेन पन्नास रूपे घेतले,Varhadi,त्याला पुन्हा एकदा आठवलं की त्याला ५० रुपये घ्यावे लागतील.
त्या पोऱालो नव्हाल वाटलो,Varhadi,त्या मुलाला आश्चर्य वाटलं
घेतला ताथी नेऊन सोडला,Varhadi,तो तिथून निघून गेला जिथून त्याने उचलले होते.
नवरिका बाप फिकिरित,Varhadi,नवरीचा बाप चिंतेत आहे
मैने दोन मैने रयली,Varhadi,ती तिथे २ महिने राहिली
